Title,Links_antes_REFERENCES,Links_depois_REFERENCES
How to Support ML End-User Programmers through a Conversational Agent,,
Unveiling the Life Cycle of User Feedback: Best Practices from Software Practitioners,,https://github.com/woc-hack/tutorial
"Characterizing Software Maintenance Meetings: Information Shared, Discussion Outcomes, and Information Captured",,
Predicting open source contributor turnover from value-related discussions: An analysis of GitHub issues,https://github.com/jackjamieson2/Jamieson_et_al-ICSE2024-Replication_Package/,
On the Helpfulness of Answering Developer Questions on Discord with Similar Conversations and Posts from the Past,,https://github.com/openai/gpt-2
Marco: A Stochastic Asynchronous Concolic Explorer,https://zenodo.org/record/8339481.;https://github.com/unifuzz/,https://github.com/StefanosChaliasos/sc-defi-security/.;https://github.com/;https://github.com/ConsenSys/;https://github.com/protofire/solhint
DocFlow: Extracting Taint Specifications from Software Documentation,,
Toward Improved Deep Learning-based Vulnerability Detection,,https://github.com/qemu/qemu/commit/;https://github.com/torvalds/linux/commit/;https://github.com/torvalds/linux/commit/;https://github.com/CityuSeclab/ClipboardScope_open.
Attention! Your Copied Data is Under Monitoring: A Systematic Study of Clipboard Usage in Android Apps,,https://github.com/PonziDetection/PonziGuard
PonziGuard: Detecting Ponzi Schemes on Ethereum with Contract Runtime Behavior Graph (CRBG),https://github.com/PonziDetection/PonziGuard/tree/main/dataset/Result/verified,https://github.com/;https://github.com/;https://github.com/NobleMathews/FuzzSliceICSE;https://github.com/openssl/openssl;https://github.com/andrew-d/rough-auditing-;https://github.com/openssl/openssl/blob/master/test/testutil/driver.c;https://github.com/rizsotto/Bear;https://github.com/openssh/openssh-portable;https://github.com/tmux/tmux;https://github.com/GentleCP/LibvDiff-public
LibvDiff: Library Version Difference Guided OSS Version Identification in Binaries,https://github.com/GentleCP/LibvDiff-public/blob/master/imgs/RQ1_data_detail.png;https://github.com/GentleCP/LibvDiff-public/blob/master/imgs/RQ3_data_detail.png,https://github.com/awslabs/;https://github.com/ReFirmLabs/binwalk.;https://github.com/ishepard/;https://github.com/openssl/openssl.;https://github.com/.
Prompting Is All You Need: Automated Android Bug Replay with Large Language Models,,https://github.com/appetizerio/replaykit.;https://github.com/sidongfeng/AdbGPT.;https://github.com/openatx/;https://github.com/dear-github/dear-github.
Towards Reliable AI: Adequacy Metrics for Ensuring the Quality of System-level Testing of Autonomous Vehicles,,
Learning-based Widget Matching for Migrating GUI Test Cases,,https://github.com/seal-hub/CraftDroid;https://github.com/YakZhang/;https://github.com/;https://github.com/nedbat/coveragepy.;https://github.com/ise-uiuc/FuzzGPT.;https://github.com/pytorch/pytorch/issues/85155.
Deeply Reinforcing Android GUI Testing with Deep Reinforcement Learning,https://github.com/Yuanhong-Lan/DQT;https://github.com/signalapp/Signal-Android/issues/12651;https://github.com/signalapp/Signal-Android/issues/12666;https://github.com/signalapp/Signal-Android/issues/12667;https://github.com/tachiyomiorg/tachiyomi/issues/8509;https://github.com/duckduckgo/Android/pull/2499;https://github.com/mozilla-mobile/fenix/issues/28389;https://github.com/mozilla-mobile/fenix/issues/28390;https://github.com/ankidroid/Anki-Android/issues/12936;https://github.com/TeamNewPipe/NewPipe/issues/9518;https://github.com/TeamNewPipe/NewPipe/issues/9529;https://github.com/eleybourn/Book-Catalogue/issues/877;https://github.com/eleybourn/Book-Catalogue/issues/883;https://github.com/vanilla-music/vanilla/issues/1147;https://github.com/iSoron/uhabits/issues/1589;https://github.com/yuriykulikov/AlarmClock/issues/500;https://github.com/yuriykulikov/AlarmClock/issues/501;https://github.com/SecUSo/privacy-friendly-notes/issues/132;https://github.com/SecUSo/privacy-friendly-notes/issues/133;https://github.com/SecUSo/privacy-friendly-notes/issues/138;https://github.com/ppareit/swiftp/issues/174,https://github.com/xiaocong/uiautomator
Unveiling Memorization in Code Models,https://github.com/Workiva/frugal;https://github.com/Yelp/detect-secrets;https://github.com/yangzhou6666/Privacy-in-Code-,https://github.com/features/;https://github.com/tree-sitter/tree-sitter.;https://github.com/features/;https://github.com/iCSawyer/CodeSuggestion
On Extracting Specialized Code Abilities from Large Language Models: A Feasibility Study,,https://github.com/features/copilot.;https://github.com/qiyuangong/leetcode.;https://github.com/nomic-ai/gpt4all.;https://github.com/tatsu-lab/stanford_;https://github.com/v587su/SEC.
GrammarT5: Grammar-Integrated Pretrained Encoder-Decoder Neural Model for Code,https://github.com/GrammarT5/GrammarT5.,https://github.com/huggingface/accelerate
On Calibration of Pre-trained Code Models,https://github.com/,
Traces of Memorisation in Large Language Models for Code,https://github.com/google-;https://github.com/AISE-TUDelft/LLM4Code-extraction;https://github.com/google-;https://github.com/google-,https://github.com/features/copilot;https://github.com/AISE-TUDelft/Code4MeEvaluation;https://github.com/JetBrains/intellij-;https://github.com/shuzhenggao/
Evaluating Large Language Models in Class-Level Code Generation,,https://github.com/FudanSELab/ClassEval
Lost in Translation: A Study of Bugs Introduced by Large Language Models while Translating Code,,https://github.com/Intelligent-CAT-Lab/;https://github.com/gotranspile/cxgo.;https://github.com/immunant/c2rust.;https://github.com/THUDM/CodeGeeX/blob/main/tests/test_-;https://github.com/paulirwin/JavaToCSharp.;https://github.com/mono/
Out of Context: How important is Local Context in Neural Program Repair?,https://github.com/giganticode/out_of_context_,
"Automated Program Repair, What Is It Good For? Not Absolutely Nothing!",,
Rust-lancet: Automated Ownership-Rule-Violation Fixing with Behavior Preservation,,https://github.com/rust-lang/reference/issues/788;https://github.com/rust-lang/rustfmt;https://github.com/rust-lang/rust/tree/master/tests;https://github.com/FairuzNawer/ExploringExperiencesWithAPR_ICSE24
PyTy: Repairing Static Type Errors in Python,https://github.com/pythonarcade/arcade/commit/c6aL883;https://github.com/awslabs/aws-lambda-powertools-python/3898e55;https://github.com/vkbottle/vkbottle/commit/2bc36b6;https://github.com/TheAlgorithms/Python/commit/97b6ca2;https://github.com/TheAlgorithms/Python/commit/6089536;https://github.com/RasaHQ/rasa/commit/1ded5ef;https://github.com/jazzband/django-redis/commit/5f6f383;https://github.com/kinnala/scikit-fem/commit/a555ca3;https://www.github.com/DragonMinded/bemaniutils/commit/438a3da;https://github.com/libtcod/python-tcod/commit/60066f3;https://github.com/networktocode/pyntc/commit/ebb35344e0121;https://www.github.com/lykoss/lykos/commit/abbd35c;https://github.com/sola-st/PyTy;https://zenodo.org/records/10441045.,
"Out of Sight, Out of Mind: Better Automatic Vulnerability Repair by Broadening Input Ranges and Sources",https://github.com/soarsmu/,https://github.com/TinkerBoard2-Android/;https://github.com/soarsmu/;https://github.com/awsm-research/
Strengthening Supply Chain Security with Fine-grained Safe Patch Identification,,https://github.com/o-gs/dji-;https://github.com/redis/redis/blob/unstable/deps/README.;https://github.com/Vallxy/COSER.
Comprehensive Semantic Repair of Obsolete GUI Test Scripts for Mobile Applications,,https://github.com/RobotiumTech/
Constraint Based Program Repair for Persistent Memory Bugs,,https://github.com/pmem/pmem-redis
Xpert: Empowering Incident Management with Query Recommendations via Large Language Models,,
Tensor-Aware Energy Accounting,"https://github.com/;https://github.com/Cldfire/nvml-wrapper;https://github.com/project-;https://github.com/google-research/bert,;https://github.com/google-research/albert,",
Programming Assistant for Exception Handling with CodeBERT,,https://github.com/jessevig/bertviz.;https://github.com/microsoft/CodeXGLUE.;https://github.com/anonymous-000000/neurex.;https://github.com/cdpierse/transformers-interpret.;https://github.com/jacobwwh/noise_SE.
An Empirical Study on Noisy Label Learning for Program Understanding,,
An Empirical Study on Low GPU Utilization of Deep Learning Jobs,,https://github.com/microsoft/nni.;https://github.com/Azure/azureml-examples/tree/main/best-practices/;https://github.com/capnproto/capnproto.
Using an LLM to Help With Code Understanding,,https://github.com/features/codespaces;https://github.com/features/copilot;https://github.com/features/preview/copilot-x
Enhancing Exploratory Testing by Large Language Model and Knowledge Graph,,https://github.com/zeyang919/LLMParser
LLMParser: An Exploratory Study on Using Large Language Models for Log Parsing,,https://github.com/tatsu-lab/stanford_;https://github.com/yuanzhoulvpi2017/zero_nlp/tree/main/
Make LLM a Testing Expert: Bringing Human-like Interaction to Mobile GUI Testing via Functionality-aware Decisions,https://github.com/franklinbill/GPTDroid.,https://github.com/HoLyVieR/prototype-pollution-ns;https://github.com/sukyoung/safe
ACAV: A Framework for Automatic Causality Analysis in Autonomous Vehicle Accident Recordings,,https://github.com/ApolloAuto/apollo/releases/tag/v7.0.0.;https://github.com/autowarefoundation/
Efficiently Trimming the Fat: Streamlining Software Dependencies with Java Reflection and Dependency Analysis,,https://github.com/apache/linkis/pull/1716.;https://github.com/apache/tez/pull/127.;https://github.com/apache/tomee/pull/852.;https://github.com/plast-lab/doop-mirror.;https://github.com/advisories.;https://github.com/feuyeux/jax-rs2-guide-II/pull/;https://github.com/spring-projects/spring-amqp-;https://github.com/Hurence/logisland.;https://github.com/mapstruct/mapstruct-examples/pull/;https://github.com/apache/maven-;https://github.com/jbosstm/quickstart/pull/388.;https://github.com/secure-software-engineering/SparseIDE;https://zenodo.org/records/10498325;https://github.com/CodeShield-Security/SPDS.;https://github.com/soot-oss/heros.
LibAlchemy: A Two-Layer Persistent Summary Design for Taming Third-Party Libraries in Static Bug-Finding Systems,,"https://github.com/xiph/opusfile/;https://github.com/wala/WALA,;https://github.com/ash1852/fusion-scan.github;https://github.com/transmission/transmissio;https://github.com/Artisan-Lab/SafetyProperty;https://github.com/rust-lang/miri"
Generating REST API Specifications through Static Analysis,https://github.com/nntzuekai/Respector.,https://github.com/EMResearch/EMB/tree/master/jdk_11_maven/em/;https://github.com/apiaryio/dredd.;https://github.com/EMResearch/EMB/tree/;https://github.com/;https://github.com/Senzing/;https://github.com/treasure-data/digdag.;https://github.com/;https://github.com/enviroCar/;https://github.com/Mathew-Estafanous/;https://github.com/fabioformosa/quartz-;https://github.com/gravitee-;https://github.com/;https://github.com/confluentinc/kafka-;https://github.com/EMResearch/EMB/;https://github.com/;https://github.com/EMResearch/EMB/tree/;https://github.com/springdoc/springdoc-;https://github.com/swagger-api/swagger-core.;https://github.com/PGSSoft/;https://github.com/sub-helper/lambda_artifact
Precise Sparse Abstract Execution via Cross-Domain Interaction,,https://github.com/pjreddie/;https://github.com/emqx/nanomq;https://github.com/RIOT-OS/RIOT;https://github.com/tmux/tmux;https://github.com/
Trace-based Multi-Dimensional Root Cause Localization of Performance Issues in Microservice Systems,,"https://github.com/yisongy/ReClues_Repo,"
ReClues: Representing and indexing failures in parallel debugging with program variables,,https://github.com/yisongy/ReClues_Repo/blob/main/detailedExample.pdf;https://github.com/arun-;https://github.com/xjtu-enre/ICSE2024_PyAnalyzer
PyAnalyzer: An Effective and Practical Approach for Dependency Extraction from Python Code,,https://github.com/giampaolo/psutil.;https://github.com/instagram/MonkeyType.;https://github.com/multilang-depends/depends.;https://github.com/python/typeshed;https://github.com/Symbolk/Code2Graph.;https://github.com/Technologicat/pyan;https://github.com/yinwang0/pysonar2/tree/
Detecting Automatic Software Plagiarism via Token Sequence Normalization,https://github.com/jplag/JPlag,https://github.com/
A First Look at the Inheritance-Induced Redundant Test Execution,https://github.com/djaekim/ICSE2024.git,https://github.com/jacoco/jacoco/pull/1007
Hypertesting of Programs: Theoretical Foundation and Automated Test Generation,https://github.com/,
Ripples of a Mutation — An Empirical Study of Propagation Effects in Mutation Testing,,
Fast Deterministic Black-box Context-free Grammar Inference,https://github.com/rifatarefin/treevada;https://github.com/neil-kulkarni/arvada,https://github.com/less-lab-uva/CIT4DNN;https://github.com/udacity/self-driving-car/tree/master/;https://github.com/coinse/SINVAD.
Knowledge Graph Driven Inference Testing for Question Answering Software,https://github.com/,https://github.com/dessertlab/DeepSample.git.
